date,country,direction,spread_wave,spread_ave,activation_share,revenue_per_mw
2022-03-24T00:00:00Z,Poland,DOWN,NA,-6.893543433455534,NA,NA
2022-03-24T00:00:00Z,Poland,UP,NA,6.893543433455534,NA,NA
2022-03-25T00:00:00Z,Poland,DOWN,NA,7.1814991105132915,NA,NA
2022-03-25T00:00:00Z,Poland,UP,NA,-7.1814991105132915,NA,NA
2022-03-26T00:00:00Z,Poland,DOWN,NA,16.306669656257448,NA,NA
2022-03-26T00:00:00Z,Poland,UP,NA,-16.306669656257448,NA,NA
2022-03-27T00:00:00Z,Poland,DOWN,NA,18.478232886926204,NA,NA
2022-03-27T00:00:00Z,Poland,UP,NA,-18.478232886926204,NA,NA
2022-03-28T00:00:00Z,Poland,DOWN,NA,13.210070221353924,NA,NA
2022-03-28T00:00:00Z,Poland,UP,NA,-13.210070221353924,NA,NA
2022-03-29T00:00:00Z,Poland,DOWN,NA,9.746397576847919,NA,NA
2022-03-29T00:00:00Z,Poland,UP,NA,-9.746397576847919,NA,NA
2022-03-30T00:00:00Z,Poland,DOWN,NA,46.75295354272914,NA,NA
2022-03-30T00:00:00Z,Poland,UP,NA,-46.75295354272914,NA,NA
2022-03-31T00:00:00Z,Poland,DOWN,NA,9.019997889969744,NA,NA
2022-03-31T00:00:00Z,Poland,UP,NA,-9.019997889969744,NA,NA
2022-04-01T00:00:00Z,Poland,DOWN,NA,-4.032298383067755,NA,NA
2022-04-01T00:00:00Z,Poland,UP,NA,4.032298383067755,NA,NA
2022-04-02T00:00:00Z,Poland,DOWN,NA,23.942873041529282,NA,NA
2022-04-02T00:00:00Z,Poland,UP,NA,-23.942873041529282,NA,NA
2022-04-03T00:00:00Z,Poland,DOWN,NA,-4.196366340067114,NA,NA
2022-04-03T00:00:00Z,Poland,UP,NA,4.196366340067114,NA,NA
2022-04-04T00:00:00Z,Poland,DOWN,NA,-7.274443588756257,NA,NA
2022-04-04T00:00:00Z,Poland,UP,NA,7.274443588756257,NA,NA
2022-04-05T00:00:00Z,Poland,DOWN,NA,0.17327813776025727,NA,NA
2022-04-05T00:00:00Z,Poland,UP,NA,-0.17327813776025727,NA,NA
2022-04-06T00:00:00Z,Poland,DOWN,NA,-6.440183568205548,NA,NA
2022-04-06T00:00:00Z,Poland,UP,NA,6.440183568205548,NA,NA
2022-04-07T00:00:00Z,Poland,DOWN,NA,-2.2122564876716355,NA,NA
2022-04-07T00:00:00Z,Poland,UP,NA,2.2122564876716355,NA,NA
2022-04-08T00:00:00Z,Poland,DOWN,NA,-0.8469520275717185,NA,NA
2022-04-08T00:00:00Z,Poland,UP,NA,0.8469520275717185,NA,NA
2022-04-09T00:00:00Z,Poland,DOWN,NA,-8.674282791739348,NA,NA
2022-04-09T00:00:00Z,Poland,UP,NA,8.674282791739348,NA,NA
2022-04-10T00:00:00Z,Poland,DOWN,NA,-26.67889086288951,NA,NA
2022-04-10T00:00:00Z,Poland,UP,NA,26.67889086288951,NA,NA
2022-04-11T00:00:00Z,Poland,DOWN,NA,-17.48009901842604,NA,NA
2022-04-11T00:00:00Z,Poland,UP,NA,17.48009901842604,NA,NA
2022-04-12T00:00:00Z,Poland,DOWN,NA,16.091461180391068,NA,NA
2022-04-12T00:00:00Z,Poland,UP,NA,-16.091461180391068,NA,NA
2022-04-13T00:00:00Z,Poland,DOWN,NA,5.153401225816566,NA,NA
2022-04-13T00:00:00Z,Poland,UP,NA,-5.153401225816566,NA,NA
2022-04-14T00:00:00Z,Poland,DOWN,NA,22.63555890865618,NA,NA
2022-04-14T00:00:00Z,Poland,UP,NA,-22.63555890865618,NA,NA
2022-04-15T00:00:00Z,Poland,DOWN,NA,16.5274686855118,NA,NA
2022-04-15T00:00:00Z,Poland,UP,NA,-16.5274686855118,NA,NA
2022-04-16T00:00:00Z,Poland,DOWN,NA,25.20277472090583,NA,NA
2022-04-16T00:00:00Z,Poland,UP,NA,-25.20277472090583,NA,NA
2022-04-17T00:00:00Z,Poland,DOWN,NA,5.998885856579573,NA,NA
2022-04-17T00:00:00Z,Poland,UP,NA,-5.998885856579573,NA,NA
2022-04-18T00:00:00Z,Poland,DOWN,NA,23.256561297818326,NA,NA
2022-04-18T00:00:00Z,Poland,UP,NA,-23.256561297818326,NA,NA
2022-04-19T00:00:00Z,Poland,DOWN,NA,44.60291377102677,NA,NA
2022-04-19T00:00:00Z,Poland,UP,NA,-44.60291377102677,NA,NA
2022-04-20T00:00:00Z,Poland,DOWN,NA,-16.84129406848493,NA,NA
2022-04-20T00:00:00Z,Poland,UP,NA,16.84129406848493,NA,NA
2022-04-21T00:00:00Z,Poland,DOWN,NA,-8.884879331392622,NA,NA
2022-04-21T00:00:00Z,Poland,UP,NA,8.884879331392622,NA,NA
2022-04-22T00:00:00Z,Poland,DOWN,NA,-0.039822744014723334,NA,NA
2022-04-22T00:00:00Z,Poland,UP,NA,0.039822744014723334,NA,NA
2022-04-23T00:00:00Z,Poland,DOWN,NA,8.427904790306389,NA,NA
2022-04-23T00:00:00Z,Poland,UP,NA,-8.427904790306389,NA,NA
2022-04-24T00:00:00Z,Poland,DOWN,NA,-2.3405553114012942,NA,NA
2022-04-24T00:00:00Z,Poland,UP,NA,2.3405553114012942,NA,NA
2022-04-25T00:00:00Z,Poland,DOWN,NA,-14.128944932034173,NA,NA
2022-04-25T00:00:00Z,Poland,UP,NA,14.128944932034173,NA,NA
2022-04-26T00:00:00Z,Poland,DOWN,NA,6.924923932650669,NA,NA
2022-04-26T00:00:00Z,Poland,UP,NA,-6.924923932650669,NA,NA
2022-04-27T00:00:00Z,Poland,DOWN,NA,15.932318169257137,NA,NA
2022-04-27T00:00:00Z,Poland,UP,NA,-15.932318169257137,NA,NA
2022-04-28T00:00:00Z,Poland,DOWN,NA,16.208174372480855,NA,NA
2022-04-28T00:00:00Z,Poland,UP,NA,-16.208174372480855,NA,NA
2022-04-29T00:00:00Z,Poland,DOWN,NA,32.048862761864044,NA,NA
2022-04-29T00:00:00Z,Poland,UP,NA,-32.048862761864044,NA,NA
2022-04-30T00:00:00Z,Poland,DOWN,NA,8.936069307871357,NA,NA
2022-04-30T00:00:00Z,Poland,UP,NA,-8.936069307871357,NA,NA
2022-05-01T00:00:00Z,Poland,DOWN,NA,11.901008367434187,NA,NA
2022-05-01T00:00:00Z,Poland,UP,NA,-11.901008367434187,NA,NA
2022-05-02T00:00:00Z,Poland,DOWN,NA,7.347649170466663,NA,NA
2022-05-02T00:00:00Z,Poland,UP,NA,-7.347649170466663,NA,NA
2022-05-03T00:00:00Z,Poland,DOWN,NA,-0.447279023586964,NA,NA
2022-05-03T00:00:00Z,Poland,UP,NA,0.447279023586964,NA,NA
2022-05-04T00:00:00Z,Poland,DOWN,NA,17.075454545454544,NA,NA
2022-05-04T00:00:00Z,Poland,UP,NA,-17.075454545454544,NA,NA
2022-05-05T00:00:00Z,Poland,DOWN,NA,27.549771804778878,NA,NA
2022-05-05T00:00:00Z,Poland,UP,NA,-27.549771804778878,NA,NA
2022-05-06T00:00:00Z,Poland,DOWN,NA,5.528753083269537,NA,NA
2022-05-06T00:00:00Z,Poland,UP,NA,-5.528753083269537,NA,NA
2022-05-07T00:00:00Z,Poland,DOWN,NA,14.531976208702412,NA,NA
2022-05-07T00:00:00Z,Poland,UP,NA,-14.531976208702412,NA,NA
2022-05-08T00:00:00Z,Poland,DOWN,NA,11.687092923364803,NA,NA
2022-05-08T00:00:00Z,Poland,UP,NA,-11.687092923364803,NA,NA
2022-05-09T00:00:00Z,Poland,DOWN,NA,5.890609623961229,NA,NA
